target,holdout,D,train_accuracy,valid_accuracy,test_accuracy,train_macro_f1,valid_macro_f1,test_macro_f1,test_balanced_accuracy,explained_variance,classification_valid,unseen_test_classes
fold_label,superfamily_holdout,128,0.8460038986354775,0.39945652173913043,0.46730462519936206,0.39937303656855233,0.22436075067965908,0.2016724685977729,0.23745215279649498,0.8901831,True,0
fold_label,superfamily_holdout,256,0.8984730344379467,0.47690217391304346,0.569377990430622,0.48865508887649095,0.3058900248857784,0.2825916160578206,0.3200608120474322,0.9395798,True,0
fold_label,superfamily_holdout,512,0.9197530864197531,0.5081521739130435,0.6076555023923444,0.5411520828737141,0.34467358228855566,0.3331360322397226,0.3705622032427657,0.9767876,True,0
fold_label,superfamily_holdout,768,0.9246263807667316,0.5122282608695652,0.6172248803827751,0.5592485239864372,0.34680850618977194,0.3465635346335575,0.3848650529083661,0.9909389,True,0
fold_label,superfamily_holdout,1024,0.9267381416504223,0.5163043478260869,0.6188197767145136,0.5657946314242027,0.34924044112591984,0.3490237166462938,0.38688106942714506,0.99726164,True,0
fold_label,superfamily_holdout,1280,0.9277128005198181,0.5163043478260869,0.6196172248803827,0.5682715307272753,0.35211397415361223,0.3492276981412721,0.38718800619817023,0.9999999,True,0
fold_label,fold_holdout,32,0.5393924626380767,0.19293478260869565,0.14206128133704735,0.16123812118547903,0.08135014047755569,0.03898456573370224,0.060505476957682845,0.76713604,True,0
fold_label,fold_holdout,64,0.7236029889538661,0.2866847826086957,0.2075208913649025,0.28102522367609595,0.1463951840358224,0.057098946109241905,0.08707605711282182,0.83210516,True,0
fold_label,fold_holdout,128,0.8460038986354775,0.39945652173913043,0.2520891364902507,0.39937303656855233,0.22436075067965908,0.0805111408805987,0.11656066564154799,0.8901831,True,0
fold_label,fold_holdout,256,0.8984730344379467,0.47690217391304346,0.29108635097493035,0.48865508887649095,0.3058900248857784,0.10645412353686282,0.15255944015135192,0.9395798,True,0
fold_label,fold_holdout,512,0.9197530864197531,0.5081521739130435,0.31058495821727017,0.5411520828737141,0.34467358228855566,0.12620654665243672,0.17545740615593555,0.9767876,True,0
fold_label,fold_holdout,768,0.9246263807667316,0.5122282608695652,0.31337047353760444,0.5592485239864372,0.34680850618977194,0.1265853725785167,0.1752064724491195,0.9909389,True,0
fold_label,fold_holdout,1024,0.9267381416504223,0.5163043478260869,0.3161559888579387,0.5657946314242027,0.34924044112591984,0.128590138072371,0.17778000186088422,0.99726164,True,0
fold_label,fold_holdout,1280,0.9277128005198181,0.5163043478260869,0.3161559888579387,0.5682715307272753,0.35211397415361223,0.12888322077953698,0.17778000186088422,0.9999999,True,0
superfamily_label,family_holdout,32,0.5471085120207927,0.125,0.7177672955974843,0.19941053009335877,0.04708198646285153,0.5062302253978628,0.5351824056542122,0.76713604,True,0
superfamily_label,family_holdout,64,0.7284762833008447,0.19701086956521738,0.8616352201257862,0.3465613367404647,0.09916009796831105,0.7346974297576202,0.7558611353490244,0.83210516,True,0
superfamily_label,family_holdout,128,0.8546133853151398,0.3016304347826087,0.9441823899371069,0.4949096729812415,0.15758745917240252,0.8576281447393456,0.8934281413009969,0.8901831,True,0
superfamily_label,family_holdout,256,0.9044834307992202,0.36684782608695654,0.9685534591194969,0.5819400147231029,0.20290887330595578,0.914144693851803,0.9386966316758703,0.9395798,True,0
superfamily_label,family_holdout,512,0.9263320337881742,0.3967391304347826,0.9764150943396226,0.6366750801660628,0.22528913825589014,0.9347997536390392,0.956995706083852,0.9767876,True,0
