target,holdout,metric,utility_threshold,baseline_D,baseline_metric,required_metric,minimum_D,achieved_metric,achieved_utility_retention,storage_reduction_pct,compression_ratio
superfamily_label,family_holdout,test_macro_f1,0.99,1280,0.9430309214521875,0.9336006122376656,512,0.9347997536390392,0.9912715822716895,60.0,2.5
superfamily_label,family_holdout,test_macro_f1,0.995,1280,0.9430309214521875,0.9383157668449266,768,0.9430309214521875,1.0,40.0,1.6666666666666667
superfamily_label,family_holdout,test_balanced_accuracy,0.95,1280,0.9626694649491002,0.9145359917016451,256,0.9386966316758703,0.9750975447481369,80.0,5.0
superfamily_label,family_holdout,test_balanced_accuracy,0.99,1280,0.9626694649491002,0.9530427702996092,512,0.956995706083852,0.9941062232969566,60.0,2.5
superfamily_label,family_holdout,test_balanced_accuracy,0.995,1280,0.9626694649491002,0.9578561176243547,768,0.9626694649491002,1.0,40.0,1.6666666666666667
superfamily_label,superfamily_holdout,test_accuracy,0.95,1280,0.5773524720893142,0.5484848484848485,512,0.5606060606060606,0.9709944751381215,60.0,2.5
superfamily_label,superfamily_holdout,test_accuracy,0.99,1280,0.5773524720893142,0.5715789473684211,1024,0.5741626794258373,0.994475138121547,19.999999999999996,1.25
superfamily_label,superfamily_holdout,test_accuracy,0.995,1280,0.5773524720893142,0.5744657097288676,1280,0.5773524720893142,1.0,0.0,1.0
superfamily_label,superfamily_holdout,test_macro_f1,0.95,1280,0.35890545104549487,0.34096017849322013,768,0.34190355541504336,0.9526284831257791,40.0,1.6666666666666667
superfamily_label,superfamily_holdout,test_macro_f1,0.99,1280,0.35890545104549487,0.35531639653503994,1280,0.35890545104549487,1.0,0.0,1.0
superfamily_label,superfamily_holdout,test_macro_f1,0.995,1280,0.35890545104549487,0.3571109237902674,1280,0.35890545104549487,1.0,0.0,1.0
superfamily_label,superfamily_holdout,test_balanced_accuracy,0.95,1280,0.42192482816146387,0.40082858675339067,768,0.4045555853823851,0.9588333238061264,40.0,1.6666666666666667
superfamily_label,superfamily_holdout,test_balanced_accuracy,0.99,1280,0.42192482816146387,0.41770557987984924,1280,0.42192482816146387,1.0,0.0,1.0
superfamily_label,superfamily_holdout,test_balanced_accuracy,0.995,1280,0.42192482816146387,0.41981520402065653,1280,0.42192482816146387,1.0,0.0,1.0
family_label,family_holdout,test_accuracy,0.95,1280,0.9622641509433962,0.9141509433962264,128,0.925314465408805,0.9616013071895425,90.0,10.0
family_label,family_holdout,test_accuracy,0.99,1280,0.9622641509433962,0.9526415094339623,256,0.9551886792452831,0.9926470588235294,80.0,5.0
family_label,family_holdout,test_accuracy,0.995,1280,0.9622641509433962,0.9574528301886792,512,0.9583333333333334,0.9959150326797386,60.0,2.5
family_label,family_holdout,test_macro_f1,0.95,1280,0.9117578751795508,0.8661699814205732,256,0.9036030357367779,0.9910559155398938,80.0,5.0
family_label,family_holdout,test_macro_f1,0.99,1280,0.9117578751795508,0.9026402964277552,256,0.9036030357367779,0.9910559155398938,80.0,5.0
family_label,family_holdout,test_macro_f1,0.995,1280,0.9117578751795508,0.907199085803653,768,0.9094885299414555,0.9975110220598331,40.0,1.6666666666666667
family_label,family_holdout,test_balanced_accuracy,0.95,1280,0.9373981676883395,0.8905282593039224,256,0.9266454795162965,0.9885292199807052,80.0,5.0
family_label,family_holdout,test_balanced_accuracy,0.99,1280,0.9373981676883395,0.9280241860114561,512,0.9322906408066192,0.994551379490835,60.0,2.5
family_label,family_holdout,test_balanced_accuracy,0.995,1280,0.9373981676883395,0.9327111768498978,768,0.9349788128496298,0.9974190744956586,40.0,1.6666666666666667
